#Release 11.3 - par L.57 (nt)
#Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

#Sun Dec 13 16:14:05 2009

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       vga_control_map.ncd
#OUTPUT FILE:      vga_control_pad.csv
#PART TYPE:        xc3s700an
#SPEED GRADE:      -4
#PACKAGE:          fgg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AA3,Sl_MWrErr<5>,IOB,IO_L03N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AA4,Sl_MWrErr<7>,IOB,IO_L04N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AA5,,,VCCO_2,,,2,,,,,2.50,,,,
AA6,PLB_ABus<26>,IBUF,IO_L08P_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
AA7,,,GND,,,,,,,,,,,,
AA8,PLB_ABus<7>,IBUF,IO_L12P_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
AA9,,,VCCO_2,,,2,,,,,2.50,,,,
AA10,PLB_ABus<14>,IBUF,IO_L15P_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
AA11,,,GND,,,,,,,,,,,,
AA12,PLB_ABus<23>,IBUF,IO_L19P_2/GCLK0,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
AA13,,,VCCO_2,,,2,,,,,2.50,,,,
AA14,Sl_MIRQ<3>,IOB,IO_L22P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AA15,Sl_rdDBus<4>,IOB,IO_L24N_2/DOUT,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AA16,,,GND,,,,,,,,,,,,
AA17,Sl_rdDBus<11>,IOB,IO_L28P_2/D2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AA18,,,VCCO_2,,,2,,,,,2.50,,,,
AA19,Sl_rdDBus<20>,IOB,IO_L32N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AA20,Sl_rdDBus<28>,IOB,IO_L36N_2/CCLK,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AA21,Sl_rdDBus<26>,IOB,IO_L35N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AA22,Sl_rdDBus<29>,IOB,IO_L01P_1/HDC,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AB1,,,GND,,,,,,,,,,,,
AB2,Sl_MWrErr<4>,IOB,IO_L03P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AB3,Sl_MWrErr<6>,IOB,IO_L04P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AB4,Sl_MIRQ<6>,IOB,IO_L06P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AB5,Sl_MIRQ<2>,IOB,IO_L06N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AB6,PLB_ABus<27>,IBUF,IO_L08N_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
AB7,PLB_ABus<3>,IBUF,IO_L10N_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
AB8,PLB_ABus<8>,IBUF,IO_L12N_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
AB9,PLB_ABus<13>,IBUF,IO_L14N_2/D6,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
AB10,PLB_ABus<15>,IBUF,IO_L15N_2,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
AB11,PLB_ABus<18>,IBUF,IO_L16N_2/D4,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
AB12,PLB_ABus<24>,IBUF,IO_L19N_2/GCLK1,INPUT,LVCMOS25*,2,,,,IBUF,,UNLOCATED,NO,NONE,
AB13,Sl_MIRQ<7>,IOB,IO_L21P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AB14,Sl_rdDBus<0>,IOB,IO_L22N_2/MOSI/CSI_B,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AB15,Sl_rdDBus<3>,IOB,IO_L24P_2/AWAKE,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AB16,Sl_rdDBus<9>,IOB,IO_L27P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AB17,Sl_rdDBus<13>,IOB,IO_L29P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AB18,Sl_rdDBus<14>,IOB,IO_L29N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AB19,Sl_rdDBus<19>,IOB,IO_L32P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AB20,Sl_rdDBus<27>,IOB,IO_L36P_2/D0/DIN/MISO,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AB21,Sl_rdDBus<25>,IOB,IO_L35P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
AB22,,,GND,,,,,,,,,,,,
B1,Sl_MRdErr<1>,IOB,IO_L02P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B2,Sl_wrBTerm,IOB,IO_L36P_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B3,Sl_wrComp,IOB,IO_L33N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B4,,DIFFSTB,IO_L31N_0,UNUSED,,0,,,,,,,,,
B5,,,VCCO_0,,,0,,,,,2.50,,,,
B6,VGA_B<2>,IOB,IO_L28P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B7,,,GND,,,,,,,,,,,,
B8,PLB_wrDBus<30>,IBUF,IO_L25P_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
B9,PLB_wrDBus<10>,IBUF,IO_L24P_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
B10,,,VCCO_0,,,0,,,,,2.50,,,,
B11,PLB_size<3>,IBUF,IO_L19P_0/GCLK8,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
B12,,,GND,,,,,,,,,,,,
B13,PLB_BE<0>,IBUF,IO_L16P_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
B14,,,VCCO_0,,,0,,,,,2.50,,,,
B15,Sl_rdDBus<99>,IOB,IO_L13P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B16,,,GND,,,,,,,,,,,,
B17,Sl_rdDBus<119>,IOB,IO_L10P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B18,,,VCCO_0,,,0,,,,,2.50,,,,
B19,Sl_rdDBus<110>,IOB,IO_L06P_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B20,Sl_rdDBus<105>,IOB,IO_L03P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B21,Sl_rdDBus<98>,IOB,IO_L45N_1/A23,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B22,Sl_rdDBus<97>,IOB,IO_L45P_1/A22,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C1,Sl_rdWdAddr<1>,IOB,IO_L01P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C2,Sl_MRdErr<5>,IOB,IO_L02N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C3,,,GND,,,,,,,,,,,,
C4,,,PROG_B,,,,,,,,,,,,
C5,Sl_rdWdAddr<3>,IOB,IO_L32P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C6,PLB_size<2>,IBUF,IO_L29P_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
C7,VGA_B<0>,IOB,IO_L27N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C8,PLB_wrDBus<31>,IBUF,IO_L25N_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
C9,PLB_wrDBus<11>,IBUF,IO_L24N_0/VREF_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
C10,SPLB_Rst,IBUF,IO_L21N_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
C11,PLB_BE<1>,IBUF,IO_L19N_0/GCLK9,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
C12,PLB_BE<4>,IBUF,IO_L17P_0/GCLK4,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
C13,Sl_rdDBus<125>,IOB,IO_L15N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C14,Sl_rdDBus<115>,IOB,IO_L09P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C15,Sl_rdDBus<122>,IOB,IO_L11N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C16,Sl_rdDBus<116>,IOB,IO_L08N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C17,Sl_rdDBus<114>,IOB,IO_L07N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C18,Sl_rdDBus<109>,IOB,IO_L05P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C19,Sl_rdDBus<104>,IOB,IO_L02N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C20,,,GND,,,,,,,,,,,,
C21,Sl_rdDBus<96>,IOB,IO_L44N_1/A21,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C22,Sl_rdDBus<95>,IOB,IO_L44P_1/A20,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D1,Sl_MRdErr<4>,IOB,IO_L06P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D2,Sl_MRdErr<0>,IOB,IO_L01N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D3,Sl_MRdErr<3>,IOB,IO_L03P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D4,,,TMS,,,,,,,,,,,,
D5,Sl_SSize<1>,IOB,IO_L32N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D6,Sl_rdDBus<127>,IOB,IO_L29N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D7,PLB_wrDBus<3>,IBUF,IO_L27P_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
D8,PLB_masterID<0>,IBUF,IO_L30N_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
D9,,,GND,,,,,,,,,,,,
D10,VGA_R<1>,IOB,IO_L23P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D11,clk_50mhz,IBUF,IO_L20P_0/GCLK10,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
D12,,,VCCAUX,,,,,,,,3.3,,,,
D13,PLB_size<1>,IBUF,IO_L15P_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
D14,,,GND,,,,,,,,,,,,
D15,Sl_rdDBus<117>,IOB,IO_L11P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D16,Sl_rdDBus<111>,IOB,IO_L08P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D17,Sl_rdDBus<113>,IOB,IO_L07P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D18,Sl_rdDBus<102>,IOB,IO_L01N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D19,Sl_rdDBus<103>,IOB,IO_L02P_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D20,Sl_rdDBus<94>,IOB,IO_L42N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D21,Sl_rdDBus<93>,IOB,IO_L42P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D22,Sl_rdDBus<92>,IOB,IO_L41N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E1,Sl_MRdErr<6>,IOB,IO_L06N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E2,,,VCCO_3,,,3,,,,,2.50,,,,
E3,Sl_MBusy<2>,IOB,IO_L07N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E4,,DIFFSLR,IO_L03N_3,UNUSED,,3,,,,,,,,,
E5,,,VCCAUX,,,,,,,,3.3,,,,
E6,VGA_G<0>,IOB,IO_L35N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E7,Sl_SSize<0>,IOB,IO_L34P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E8,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
E9,PLB_masterID<1>,IBUF,IO_L30P_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
E10,PLB_wrDBus<8>,IBUF,IO_L23N_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
E11,VGA_HSYNC,IOB,IO_L20N_0/GCLK11,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E12,PLB_BE<5>,IBUF,IO_L17N_0/GCLK5,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
E13,VGA_G<2>,IOB,IO_L14N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E14,Sl_rdDBus<118>,IOB,IO_L09N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E15,Sl_rdDBus<107>,IOB,IO_L04P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E16,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
E17,Sl_rdDBus<101>,IOB,IO_L01P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E18,,,VCCAUX,,,,,,,,3.3,,,,
E19,,,TDO,,,,,,,,,,,,
E20,Sl_rdDBus<87>,IOB,IO_L38P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E21,,,VCCO_1,,,1,,,,,2.50,,,,
E22,Sl_rdDBus<91>,IOB,IO_L41P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F1,Sl_rdComp,IOB,IO_L12N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F2,,DIFFMLR,IO_L12P_3,UNUSED,,3,,,,,,,,,
F3,Sl_wait,IOB,IO_L08P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F4,Sl_MRdErr<2>,IOB,IO_L07P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F5,,,TDI,,,,,,,,,,,,
F6,,,GND,,,,,,,,,,,,
F7,Sl_rdWdAddr<2>,IOB,IO_L35P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F8,VGA_G<3>,IOB,IO_L34N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F9,,,VCCO_0,,,0,,,,,2.50,,,,
F10,PLB_type<1>,IBUF,IP_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
F11,,,GND,,,,,,,,,,,,
F12,PLB_BE<12>,IBUF,IP_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
F13,VGA_R<3>,IOB,IO_L14P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F14,,,VCCO_0,,,0,,,,,2.50,,,,
F15,Sl_rdDBus<108>,IOB,IO_L04N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F16,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
F17,,,GND,,,,,,,,,,,,
F18,Sl_rdDBus<90>,IOB,IO_L40N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F19,Sl_rdDBus<89>,IOB,IO_L40P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F20,Sl_rdDBus<88>,IOB,IO_L38N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F21,Sl_rdDBus<82>,IOB,IO_L34N_1/A19,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F22,Sl_rdDBus<81>,IOB,IO_L34P_1/A18,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G1,IP2INTC_Irpt,IOB,IO_L13N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G2,,,GND,,,,,,,,,,,,
G3,Sl_MBusy<5>,IOB,IO_L13P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G4,VGA_G<1>,IOB,IO_L08N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G5,Sl_MBusy<0>,IOB,IO_L05N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G6,Sl_MBusy<1>,IOB,IO_L05P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G7,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
G8,,IBUF,IP_0/VREF_0,UNUSED,,0,,,,,,,,,
G9,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
G10,PLB_type<2>,IBUF,IP_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
G11,PLB_wrDBus<0>,IBUF,IP_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
G12,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
G13,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
G14,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
G15,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
G16,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
G17,Sl_rdDBus<100>,IOB,IO_L46N_1/A25,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G18,Sl_rdDBus<121>,IOB,IO_L46P_1/A24,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G19,Sl_rdDBus<83>,IOB,IO_L36P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G20,Sl_rdDBus<84>,IOB,IO_L36N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G21,,,GND,,,,,,,,,,,,
G22,Sl_rdDBus<76>,IOB,IO_L30N_1/A15,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H1,Sl_rdWdAddr<0>,IOB,IO_L16N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H2,Sl_MBusy<7>,IOB,IO_L16P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H3,Sl_MBusy<6>,IOB,IO_L14N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H4,Sl_addrAck,IOB,IO_L14P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H5,Sl_MBusy<3>,IOB,IO_L09P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H6,Sl_rdBTerm,IOB,IO_L09N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H7,,DIFFSI_NDT,IP_L04N_3/VREF_3,UNUSED,,3,,,,,,,,,
H8,PLB_RNW,IBUF,IP_L04P_3,INPUT,LVCMOS25*,3,,,,IBUF,,UNLOCATED,NO,NONE,
H9,PLB_type<0>,IBUF,IP_0/VREF_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
H10,PLB_wrDBus<9>,IBUF,IP_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
H11,,,VCCAUX,,,,,,,,3.3,,,,
H12,PLB_BE<8>,IBUF,IP_0/VREF_0,INPUT,LVCMOS25*,0,,,,IBUF,,UNLOCATED,NO,NONE,
H13,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
H14,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
H15,,DIFFSI_NDT,IP_L47N_1,UNUSED,,1,,,,,,,,,
